TotalFactura,Diferenciada,TotalFactura_sqrt,Log_TotalFactura,TotalFactura_yeojohnson,campaña_marketing,cierre_hotel,Predicción_ARIMA,Predicción_SARIMA_cuadrado,Predicción_SARIMA_sarimax_train,Predicción_SARIMA_sarimax,Fecha
2830.0,-2120.0,53.19774431308154,7.9483852851118995,-0.2630076547781741,0,1,8458.13154425992,91.93229613500293,93.31066397777704,79.36018613214928,2023-08-27
1927.0,-903.0,43.89760813529594,7.564238475170491,-0.44790414677608587,0,1,6668.750359346217,42.463184737525,61.7217353585864,44.4800411874945,2023-09-03
4760.0,2833.0,68.99275324264136,8.46821300919452,0.02086942765659082,0,1,5161.180962673981,76.10654770773678,95.49229484928891,87.64263804087555,2023-09-10
10475.0,5715.0,102.34744745229361,9.256842205627603,0.5381966103094129,0,1,5033.631409023884,63.835676152203455,77.60932743137647,72.35150345012936,2023-09-17
27651.0,17176.0,166.28589837986863,10.227453337065155,1.352480184963629,0,1,6763.634075149092,196.91419412181529,210.01711279641432,213.19032396324005,2023-09-24
13580.0,-14071.0,116.53325705565771,9.516427036104067,0.7348873718473656,0,1,13404.46314860149,106.57649833560751,114.44549113195033,108.24719015137265,2023-10-01
10220.0,-3360.0,101.09401564880089,9.232199706329077,0.5202531087122477,0,1,13460.272494328641,77.23498743215023,65.28475833172455,69.41552705995935,2023-10-08
6080.0,-4140.0,77.9743547584717,8.71292443512011,0.16941683724774506,0,1,12430.075778109654,111.68977564168391,94.50719746452931,100.63886687968261,2023-10-15
3560.0,-2520.0,59.665735560705194,8.177796683277778,-0.14277628439446496,0,1,10411.163101536844,105.5943707904434,122.01192670361372,118.29157256262457,2023-10-22
6240.0,2680.0,78.99367063252599,8.738895704934043,0.18578463724992073,0,1,8232.937121518979,11.976331096468167,33.60391692044695,28.607789972355995,2023-10-29
7330.0,1090.0,85.61541917201598,8.899867211223587,0.2899172617752286,0,1,7599.3122391014385,94.24916515108784,73.9433163956243,86.70145396666244,2023-11-05
6925.0,-405.0,83.21658488546619,8.843037724962366,0.2526199411546246,0,1,7513.688395784098,83.28490832340043,75.62933946809628,77.99107052615867,2023-11-12
9210.0,2285.0,95.96874491208062,9.128153700988236,0.44583479400374676,0,1,7326.523626995522,56.392910984608335,44.48274645474034,44.71905946409258,2023-11-19
6697.0,-2513.0,81.83520025025906,8.80956425335415,0.2309258890641458,0,1,7925.347083337975,85.31170083230803,53.531762361935264,56.485466952332764,2023-11-26
20950.0,14253.0,144.74114826130128,9.949941656908011,1.0967905282506285,0,1,7534.812295338875,212.68277632834236,232.75498704486972,226.76895948169056,2023-12-03
7410.0,-13540.0,86.08135686662938,8.910720661951359,0.2971077845096015,0,1,11799.972816558147,83.94155748011949,116.21716563992142,97.62833425976031,2023-12-10
11645.0,4235.0,107.91200118615167,9.362718052397065,0.6167070205498836,0,1,10404.245886855635,40.93721024304817,45.84996057891334,45.96919108540809,2023-12-17
13298.0,1653.0,115.31695452100702,9.495444123413163,0.718454790385821,0,1,10798.725306482767,156.37182902230649,135.68041474108122,147.45434572044775,2023-12-24
27017.0,13719.0,164.3684884641822,10.204258589529626,1.3303444527069306,0,1,11593.332731227807,112.09216174313977,121.92553844101174,117.30999900152378,2023-12-31
52560.0,25543.0,229.2596780945136,10.869729678852693,2.025841589844103,0,1,16497.059624615373,148.11260210959801,120.34846116766124,124.56322872070619,2024-01-07
23525.0,-29035.0,153.37861650177967,10.065861471520387,1.2011971804884345,0,1,27962.738149167955,162.41742778128454,86.95291950359689,98.30189627523269,2024-01-14
12530.0,-10995.0,111.93748255164576,9.435960853165286,0.6723895801759183,0,1,26551.824938407335,235.73240835489298,197.2072430076641,192.5190380001426,2024-01-21
9725.0,-2805.0,98.6154146165801,9.182557990963732,0.4844781176106536,0,1,22093.793080831212,107.73209839360722,93.30662643829757,66.82510312139726,2024-01-28
4795.0,-4930.0,69.24593850905626,8.475537516147405,0.025170229375900965,0,1,18161.318254171754,119.67860183715901,108.47205195368917,106.47558079398378,2024-02-04
1290.0,-3505.0,35.91656999213594,7.1631723908466425,-0.6209577731122317,0,1,13911.69505196059,123.27119188623085,106.26636132681591,101.1555831446558,2024-02-11
3665.0,2375.0,60.53924347066124,8.20685642839965,-0.12699098481038365,0,1,9898.81378397905,72.11511151946593,48.871181361572894,41.2738902446486,2024-02-18
2510.0,-1155.0,50.0999001995014,7.828436359157585,-0.3228788773890238,0,1,7916.864888935126,70.07153034268829,59.43736826245485,65.30960622415658,2024-02-25
4540.0,2030.0,67.37952211169207,8.420902531097951,-0.006699978241541991,0,1,6197.83216456705,56.92531577923525,44.482513665589735,49.22170299808816,2024-03-03
11815.0,7275.0,108.69682608061746,9.377209824211215,0.6276343884347998,0,1,5670.748947038751,43.56319816493347,38.26899492355993,46.67933131235811,2024-03-10
8300.0,-3515.0,91.10433579144299,9.024131268455035,0.3735580475568035,0,1,7624.222696380691,86.71626296937572,107.21867142182819,110.16800459228817,2024-03-17
1545.0,-6755.0,39.30648801406709,7.343426229147367,-0.5455674409922788,0,1,7839.07609537798,62.44930809493508,71.08438289649065,63.38506546421283,2024-03-24
10650.0,9105.0,103.19883720275146,9.273409063443166,0.5503292202610375,0,1,5837.967689699192,56.72563526920041,59.01228971982587,47.968361476143926,2024-03-31
4870.0,-5780.0,69.7853852894716,8.491054533806542,0.034310538223907935,0,1,7367.882193213403,70.12227869395443,84.25336501338948,87.20948731467496,2024-04-07
5025.0,155.0,70.88723439378913,8.522379718103538,0.05288345217320004,0,1,6573.717493345006,98.87987400037025,107.20276368535183,98.72306994291358,2024-04-14
2805.0,-2220.0,52.96225070746144,7.939515260662406,-0.267503837299493,0,1,6081.325671735109,90.76553738791003,89.02681118821644,80.21352147215174,2024-04-21
13225.0,10420.0,115.0,9.489939868234607,0.7141600570050854,0,1,5039.666380983144,66.79177603791612,50.838953459143454,51.87771569088355,2024-04-28
1860.0,-11365.0,43.12771730569565,7.528869256642251,-0.46395438820247714,0,1,7642.07214476604,50.52660925669993,53.476930962261406,68.21063794948918,2024-05-05
6928.0,5068.0,83.23460818673925,8.843470781627381,0.2529019310559698,0,1,5803.74782268972,53.97955367493658,52.874202735657136,50.911973645283666,2024-05-12
2185.0,-4743.0,46.74398357008097,7.689828668736484,-0.38961789238052175,0,1,6161.187174872064,59.12634659280821,81.07760240494976,81.36419469875968,2024-05-19
600.0,-1585.0,24.49489742783178,6.398594934535208,-0.9018172040565587,0,1,4897.017270089424,25.608079603336797,34.199667541900524,26.435511465135853,2024-05-26
130.0,-470.0,11.40175425099138,4.875197323201151,-1.3110296959097838,0,1,3530.8441815820665,48.456137053451016,55.6039594262295,52.92123980734245,2024-06-02
5509.0,5379.0,74.22263805605402,8.61431990214696,0.10834049044877875,0,1,2449.5960722423624,52.061505421109494,45.92395766876297,41.94182302199866,2024-06-09
5150.0,-359.0,71.76350047203663,8.546946149565585,0.0675628409034973,0,1,3422.288302750714,29.32023283186007,29.679917460592453,40.85874906385037,2024-06-16
13460.0,8310.0,116.01724009818541,9.507551894644093,0.7279251636268887,0,1,3971.5886841830243,45.673249186930775,59.91268992578476,65.05657218575402,2024-06-23
